product,date,sales
Suprotac 0.5,140009,9613
Suprotac 0.5,140010,10265
Suprotac 0.5,140011,10691
Suprotac 0.5,140012,11255
Suprotac 0.5,140101,11577
Suprotac 0.5,140102,12367
Suprotac 0.5,140103,13594
Suprotac 0.5,140104,14472
Suprotac 0.5,140105,14971
Suprotac 0.5,140106,15760
Suprotac 0.5,140107,16444
Suprotac 0.5,140108,17506
Suprotac 0.5,140109,18383
Suprotac 0.5,140110,19744
Suprotac 0.5,140111,20895
Suprotac 0.5,140112,22249
Suprotac 0.5,140201,23587
Suprotac 0.5,140202,25381
Suprotac 0.5,140203,28334
Suprotac 0.5,140204,31778
Suprotac 0.5,140205,34399
Suprotac 0.5,140206,35394
Suprotac 0.5,140207,35925
Suprotac 0.5,140208,36264
Suprotac 0.5,140209,36523
Suprotac 0.5,140210,36525
Suprotac 0.5,140211,36527
Suprotac 0.5,140212,39729
Suprotac 0.5,140301,41057
Suprotac 0.5,140302,41671
Suprotac 1,139801,135
Suprotac 1,139802,730
Suprotac 1,139803,1610
Suprotac 1,139804,2493
Suprotac 1,139805,5168
Suprotac 1,139806,6882
Suprotac 1,139807,7524
Suprotac 1,139808,8367
Suprotac 1,139809,9153
Suprotac 1,139810,10487
Suprotac 1,139811,11240
Suprotac 1,139812,12011
Suprotac 1,139901,12388
Suprotac 1,139902,13638
Suprotac 1,139903,14783
Suprotac 1,139904,15983
Suprotac 1,139905,17121
Suprotac 1,139906,18028
Suprotac 1,139907,19217
Suprotac 1,139908,20526
Suprotac 1,139909,21742
Suprotac 1,139910,23663
Suprotac 1,139911,26090
Suprotac 1,139912,29133
Suprotac 1,140001,30719
Suprotac 1,140002,33991
Suprotac 1,140003,36221
Suprotac 1,140004,40092
Suprotac 1,140005,42745
Suprotac 1,140006,45458
Suprotac 1,140007,47517
Suprotac 1,140008,51484
Suprotac 1,140009,54170
Suprotac 1,140010,58214
Suprotac 1,140011,61457
Suprotac 1,140012,64012
Suprotac 1,140101,66408
Suprotac 1,140102,70171
Suprotac 1,140103,74503
Suprotac 1,140104,78931
Suprotac 1,140105,82660
Suprotac 1,140106,87467
Suprotac 1,140107,90366
Suprotac 1,140108,98366
Suprotac 1,140109,103640
Suprotac 1,140110,109101
Suprotac 1,140111,115661
Suprotac 1,140112,120937
Suprotac 1,140201,125578
Suprotac 1,140202,140026
Suprotac 1,140203,148768
Suprotac 1,140204,165681
Suprotac 1,140205,178980
Suprotac 1,140206,187172
Suprotac 1,140207,194912
Suprotac 1,140208,203366
Suprotac 1,140209,211179
Suprotac 1,140210,219456
Suprotac 1,140211,222476
Suprotac 1,140212,229251
Suprotac 1,140301,233211
Suprotac 1,140302,236392
Suprotac Vial  5,140101,0
Suprotac Vial  5,140102,0
Suprotac Vial  5,140103,0
Suprotac Vial  5,140104,0
Suprotac Vial  5,140105,0
Suprotac Vial  5,140106,0
Suprotac Vial  5,140107,0
Suprotac Vial  5,140108,0
Suprotac Vial  5,140109,0
Suprotac Vial  5,140110,0
Suprotac Vial  5,140111,0
Suprotac Vial  5,140112,0
Suprotac Vial  5,140201,0
Suprotac Vial  5,140202,0
Suprotac Vial  5,140203,0
Suprotac Vial  5,140204,0
Suprotac Vial  5,140205,0
Suprotac Vial  5,140206,160
Suprotac Vial  5,140207,160
Suprotac Vial  5,140208,160
Suprotac Vial  5,140209,260
Suprotac Vial  5,140210,260
